5A8	Aleknagik / New Airport	US
RJSS	Sendai Airport	JP
RJST	JASDF Matsushima Air Base	JP
RJSY	Shonai Airport	JP
RJTA	JMSDF Atsugi Air Base / Naval Air Facility Atsugi	JP
RJTE	JMSDF Tateyama Air Base	JP
RJTF	Chofu Airport	JP
RJTH	Hachijojima Airport	JP
RJTJ	Iruma Air Base	JP
RJTK	JGSDF Kisarazu Airfield	JP
RJTL	JMSDF Shimofusa Air Base	JP
RJTO	Oshima Airport	JP
RJTQ	Miyakejima Airport	JP
RJTT	Tokyo Haneda International Airport	JP
RJTU	Utsunomiya Airport	JP
RJTY	Yokota Air Base	JP
RKJB	Muan International Airport	KR
RKJJ	Gwangju Airport	KR
RKJK	Kunsan Air Base	KR
RKJY	Yeosu Airport	KR
RKNN	Gangneung Airport (K-18)	KR
RKNW	Wonju Airport / Hoengseong Air Base (K-38/K-46)	KR
RKNY	Yangyang International Airport	KR
RKPC	Jeju International Airport	KR
RKPD	Jeongseok Airport	KR
RKPK	Gimhae International Airport	KR
RKPS	Sacheon Airport / Sacheon Air Base	KR
RKPU	Ulsan Airport	KR
RKSG	Camp Humphreys (A-511) Desiderio Army Airfield	KR
RKSI	Incheon International Airport	KR
RKSM	Seoul Air Base (K-16)	KR
RKSO	Osan Air Base	KR
RKSS	Gimpo International Airport	KR
RKSW	Suwon Airport	KR
RKTH	Pohang Airport (G-815/K-3)	KR
RKTI	Jungwon Air Base/Chungju Airport	KR
RKTN	Daegu Airport	KR
RKTU	Cheongju International Airport/Cheongju Air Base (K-59/G-513)	KR
RKTY	Yecheon Airbase	KR
ROAH	Naha Airport / JASDF Naha Air Base	JP
RODN	Kadena Air Base	JP
ROKJ	Kumejima Airport	JP
ROMD	Minamidaito Airport	JP
ROMY	Miyako Airport	JP
RORE	Iejima Airport	JP
RORK	Kitadaito Airport	JP
RORS	Miyako Shimojishima Airport	JP
RORT	Tarama Airport	JP
RORY	Yoron Airport	JP
ROTM	Futenma Marine Corps Air Station	JP
ROYN	Yonaguni Airport	JP
RPLB	Subic Bay International Airport / Naval Air Station Cubi Point	PH
RPLC	Clark International Airport / Clark Air Base	PH
RPLI	Laoag International Airport	PH
RPLL	Ninoy Aquino International Airport	PH
RPLS	Danilo Atienza Air Base	PH
RPLT	Itbayat Jorge Abad Airport	PH
RPLU	Lubang Airport	PH
RPMA	Allah Valley Airport	PH
RPMB	Rajah Buayan Air Base	PH
RPMC	Cotabato (Awang) Airport	PH
RPMD	Francisco Bangoy International Airport	PH
RPME	Bancasi Airport	PH
RPMF	Bislig Airport	PH
RPMG	Dipolog Airport	PH
RPMH	Camiguin Airport	PH
RPMJ	Jolo Airport	PH
RPMN	Sanga Sanga Airport	PH
RPMO	Labo Airport	PH
RPMP	Pagadian Airport	PH
RPMQ	Mati National Airport	PH
RPMR	General Santos International Airport	PH
RPMS	Surigao Airport	PH
RPMW	Tandag Airport	PH
RPMZ	Zamboanga International Airport	PH
RPSP	Bohol-Panglao International Airport	PH
RPUB	Loakan Airport	PH
RPUD	Daet Airport	PH
RPUH	San Jose Airport	PH
RPUM	Mamburao Airport	PH
RPUN	Naga Airport	PH
RPUO	Basco Airport	PH
RPUR	Dr Juan C Angara Airport	PH
RPUS	San Fernando Airport	PH
RPUT	Tuguegarao Airport	PH
RPUV	Virac Airport	PH
RPUW	Marinduque Airport	PH
RPUY	Cauayan Airport	PH
RPVA	Daniel Z. Romualdez Airport	PH
RPVB	Bacolod-Silay Airport	PH
RPVC	Calbayog Airport	PH
RPVD	Sibulan Airport	PH
RPVE	Godofredo P. Ramos Airport	PH
RPVF	Catarman National Airport	PH
RPVI	Iloilo International Airport	PH
RPVJ	Moises R. Espinosa Airport	PH
RPVK	Kalibo International Airport	PH
RPVM	Mactan Cebu International Airport	PH
RPVO	Ormoc Airport	PH
RPVP	Puerto Princesa International Airport / PAF Antonio Bautista Air Base	PH
RPVR	Roxas Airport	PH
RPVS	Evelio Javier Airport	PH
RPVU	Tugdan Airport	PH
RPVV	Francisco B. Reyes (Busuanga) Airport	PH
RU-0001	Levashovo Air Base	RU
RU-0008	Bada Air Base	RU
RU-0010	Balashov Air Base	RU
RU-0014	Borisoglebsk Air Base	RU
RU-0015	Khotilovo Air Base	RU
RU-0016	Lipetsk Air Base	RU
RU-0018	Buturlinovka Air Base	RU
RU-0023	Chindant Air Base	RU
RU-0028	Kaliningrad Chkalovsk Naval Air Base	RU
RU-0035	Grozny Airport	RU
RU-0036	Irkutsk Northwest Airport	RU
RU-0043	Mius Airport	RU
RU-0050	Yamburg Airport	RU
RU-0060	Chernyakhovsk Naval Air Base	RU
RU-0064	Ostrov Naval Air Base	RU
RU-0065	Pribylovo Naval Air Base	RU
RU-0089	Krymsk Air Base	RU
RU-0090	Krasnodar Central Air Base	RU
RU-0098	Oktyabrskiy Air Base	RU
RU-0125	Bobrovka Air Base	RU
RU-0128	Budyonnovsk Air Base	RU
RU-0132	Chernigovka Air Base	RU
RU-0152	Mozdok Air Base	RU
RU-0189	Kostomuksha Airport	RU
RU-0211	Taganrog Tsentralny Air Base	RU
RU-0217	Sormovo Airfield	RU
RU-0240	Seshcha Air Base	RU
RU-0282	Millerovo Air Base	RU
RU-0303	Privolzhskiy Air Base	RU
RU-0304	Kapustin Yar Airfield	RU
RU-0327	Vozdvizhenka Air Base	RU
RU-0372	Rostov-on-Don Central Air Base	RU
RU-0380	Akhtubinsk Air Base	RU
RU-0764	Kubinka Air Base	RU
RU-1071	Kamensk-Uralskiy Air Base	RU
RU-1892	Dolinsk-Sokol Air Base	RU
RU-2344	Samara Kryazh Air Base	RU
RU-2844	Dzhida Air Base	RU
RU-3686	Oreshkovo	RU
RU-3709	Bagay-Baranovka Air Base	RU
RU-3880	Kansk Air Base	RU
RU-4339	Tambov Air Base	RU
RU-4421	Danilovo Air Base	RU
RU-4464	Olenya Air Base	RU
RU-4536	Rogachyovo Air Base	RU
RU-4609	Shatalovo Air Base	RU
RU-4827	Cheryomushki Air Base	RU
RU-5105	Chuguyevka Air Base	RU
RU-5376	Smuravyovo Air Base	RU
RU-5672	Ivanovo North Air Base	RU
RU-6558	Lyambir Air Base	RU
RU-6560	Ulan-Ude East Airport	RU
RU-6687	Michurinsk Air Base	RU
RU-7576	Step Air Base	RU
RU-7978	Uprun Air Base	RU
RU-8363	Voronezh Baltimor Air Base	RU
RU-8499	Sharomy Air Base	RU
RU-8602	Engels Air Base	RU
RU-8709	Dorokhovo Air Base	RU
RU-9129	Vorkuta Sovetskiy Air Base	RU
RU-9345	Krechevitsy Air Base	RU
RU-9937	Rzhev Air Base	RU
RU-9942	Shaykovka Air Base	RU
SAAC	Comodoro Pierrestegui Airport	AR
SAAG	Gualeguaychu Airport	AR
SAAP	General Urquiza Airport	AR
SAAR	Rosario Islas Malvinas International Airport	AR
SAAV	Sauce Viejo Airport	AR
SABE	Jorge Newbery Airpark	AR
SACO	Ingeniero Ambrosio Taravella Airport	AR
SADF	San Fernando Airport	AR
SADL	La Plata Airport	AR
SADP	El Palomar Airport	AR
SAEZ	Minister Pistarini International Airport	AR
SAHS	Rincon De Los Sauces Airport	AR
SAHZ	Zapala Airport	AR
SAME	El Plumerillo Airport	AR
SAMM	Comodoro D.R. Salomón Airport	AR
SAMR	Suboficial Ay Santiago Germano Airport	AR
SANC	Catamarca Airport	AR
SANE	Vicecomodoro Angel D. La Paz Aragonés Airport	AR
SANL	Capitan V A Almonacid Airport	AR
SANR	Termas de Río Hondo international Airport	AR
SANT	Teniente Benjamin Matienzo Airport	AR
SANU	Domingo Faustino Sarmiento Airport	AR
SAOC	Area De Material Airport	AR
SAOD	Villa Dolores Airport	AR
SAOR	Villa Reynolds Airport	AR
SAOU	Brigadier Mayor D Cesar Raul Ojeda Airport	AR
SAOV	Presidente Néstor Kirchner Regional Airport	AR
SARC	Corrientes Airport	AR
SARE	Resistencia International Airport	AR
SARF	Formosa Airport	AR
SARI	Cataratas Del Iguazú International Airport	AR
SARL	Paso De Los Libres Airport	AR
SARM	Monte Caseros Airport	AR
SARP	Libertador Gral D Jose De San Martin Airport	AR
SASA	Martin Miguel De Guemes International Airport	AR
SASJ	Gobernador Horacio Guzman International Airport	AR
SASO	Orán Airport	AR
SAST	General Enrique Mosconi Airport	AR
SATG	Goya Airport	AR
SATR	Reconquista Airport	AR
SATU	Curuzu Cuatia Airport	AR
SAVB	El Bolson Airport	AR
SAVC	General E. Mosconi Airport	AR
SAVE	Brigadier Antonio Parodi Airport	AR
SAVH	Las Heras Airport	AR
SAVT	Almirante Marco Andres Zar Airport	AR
SAVV	Gobernador Castello Airport	AR
SAVY	El Tehuelche Airport	AR
SAWC	El Calafate - Commander Armando Tola International Airport	AR
SAWD	Puerto Deseado Airport	AR
SAWE	Gobernador Ramón Trejo Noel International Airport	AR
SAWG	Piloto Civil N. Fernández Airport	AR
SAWH	Malvinas Argentinas Airport	AR
SAWJ	Capitan D Daniel Vazquez Airport	AR
SAWP	Perito Moreno Airport	AR
SAWU	Santa Cruz Airport	AR
SAZB	Comandante Espora Airport	AR
SAZG	General Pico Airport	AR
SAZH	Tres Arroyos Airport	AR
SAZL	Santa Teresita Airport	AR
SAZM	Ástor Piazzola International Airport	AR
SAZN	Presidente Peron Airport	AR
SAZO	Necochea Airport	AR
SAZP	Comodoro Pedro Zanni Airport	AR
SAZR	Santa Rosa Airport	AR
SAZS	San Carlos De Bariloche Airport	AR
SAZT	Héroes De Malvinas Airport	AR
SAZV	Villa Gesell Airport	AR
SAZW	Cutral-Co Airport	AR
SAZY	Aviador C. Campos Airport	AR
SBAA	Conceição do Araguaia Airport	BR
SBAC	Aracati Dragão do Mar Regional Airport	BR
SBAF	Campo Délio Jardim de Mattos Airport	BR
SBAN	Base Aérea Airport	BR
SBAQ	Araraquara Airport	BR
SBAR	Aracaju - Santa Maria International Airport	BR
SBAT	Piloto Osvaldo Marques Dias Airport	BR
SBAU	Araçatuba Airport	BR
SBBE	Val de Cans/Júlio Cezar Ribeiro International Airport	BR
SBBG	Comandante Gustavo Kraemer Airport	BR
SBBH	Pampulha - Carlos Drummond de Andrade Airport	BR
SBBI	Bacacheri Airport	BR
SBBQ	Major Brigadeiro Doorgal Borges Airport	BR
SBBR	Presidente Juscelino Kubitschek International Airport	BR
SBBT	Chafei Amsei Airport	BR
SBBV	Atlas Brasil Cantanhede Airport	BR
SBBW	Barra do Garças Airport	BR
SBBZ	Umberto Modiano Airport	BR
SBCA	Coronel Adalberto Mendes da Silva Airport	BR
SBCC	Campo de Provas Brigadeiro Veloso	BR
SBCF	Tancredo Neves International Airport	BR
SBCG	Campo Grande Airport	BR
SBCH	Serafin Enoss Bertaso Airport	BR
SBCI	Brig. Lysias Augusto Rodrigues Airport	BR
SBCJ	Carajás Airport	BR
SBCM	Forquilhinha - Criciúma  Airport	BR
SBCO	Canoas Air Force Base	BR
SBCP	Bartolomeu Lisandro Airport	BR
SBCR	Corumbá International Airport	BR
SBCT	Afonso Pena Airport	BR
SBCV	Caravelas Airport	BR
SBCX	Hugo Cantergiani Regional Airport	BR
SBCY	Marechal Rondon Airport	BR
SBCZ	Cruzeiro do Sul Airport	BR
SBDN	Presidente Prudente Airport	BR
SBEG	Eduardo Gomes International Airport	BR
SBEK	Jacareacanga Airport	BR
SBFI	Cataratas International Airport	BR
SBFL	Hercílio Luz International Airport	BR
SBFN	Fernando de Noronha Airport	BR
SBFZ	Pinto Martins International Airport	BR
SBGL	Rio Galeão – Tom Jobim International Airport	BR
SBGM	Guajará-Mirim Airport	BR
SBGO	Santa Genoveva Airport	BR
SBGR	Guarulhos - Governador André Franco Montoro International Airport	BR
SBGW	Guaratinguetá Airport	BR
SBHT	Altamira Interstate Airport	BR
SBIC	Itacoatiara Airport	BR
SBIH	Itaituba Airport	BR
SBIL	Bahia - Jorge Amado Airport	BR
SBIP	Vale do Aço Regional Airport	BR
SBIZ	Prefeito Renato Moreira Airport	BR
SBJF	Francisco de Assis Airport	BR
SBJH	São Paulo Catarina Executive Airport	BR
SBJP	Presidente Castro Pinto International Airport	BR
SBJV	Lauro Carneiro de Loyola Airport	BR
SBKG	Presidente João Suassuna Airport	BR
SBKP	Viracopos International Airport	BR
SBLJ	Lages Airport	BR
SBLN	Lins Airport	BR
SBLO	Governador José Richa Airport	BR
SBLP	Bom Jesus da Lapa Airport	BR
SBMA	João Correa da Rocha Airport	BR
SBMC	Minaçu Airport	BR
SBMD	Monte Dourado - Serra do Areão Airport	BR
SBME	Macaé Benedito Lacerda Airport	BR
SBMG	Regional de Maringá - Sílvio Name Júnior Airport	BR
SBMK	Mário Ribeiro Airport	BR
SBML	Frank Miloye Milenkowichi–Marília State Airport	BR
SBMN	Ponta Pelada Airport / Manaus Air Base	BR
SBMO	Zumbi dos Palmares Airport	BR
SBMQ	Macapá - Alberto Alcolumbre International Airport	BR
SBMS	Dix-Sept Rosado Airport	BR
SBMT	Campo de Marte Airport	BR
SBMY	Manicoré Airport	BR
SBNF	Ministro Victor Konder International Airport	BR
SBNM	Santo Ângelo Airport	BR
SBNT	Natal Air Force Base	BR
SBOI	Oiapoque Airport	BR
SBPA	Salgado Filho International Airport	BR
SBPB	Parnaíba - Prefeito Doutor João Silva Filho International Airport	BR
SBPC	Poços de Caldas - Embaixador Walther Moreira Salles Airport	BR
SBPF	Lauro Kurtz Airport	BR
SBPJ	Brigadeiro Lysias Rodrigues Airport	BR
SBPK	João Simões Lopes Neto International Airport	BR
SBPL	Senador Nilo Coelho Airport	BR
SBPN	Porto Nacional Airport	BR
SBPP	Ponta Porã Airport	BR
SBPS	Porto Seguro Airport	BR
SBPV	Governador Jorge Teixeira de Oliveira Airport	BR
SBRB	Rio Branco-Plácido de Castro International Airport	BR
SBRF	Recife/Guararapes - Gilberto Freyre International Airport	BR
SBRJ	Santos Dumont Airport	BR
SBRP	Leite Lopes Airport	BR
SBSC	Santa Cruz Air Force Base	BR
SBSG	São Gonçalo do Amarante - Governador Aluízio Alves International Airport	BR
SBSJ	Professor Urbano Ernesto Stumpf Airport	BR
SBSL	Marechal Cunha Machado International Airport	BR
SBSM	Santa Maria Airport	BR
SBSN	Santarém - Maestro Wilson Fonseca International Airport	BR
SBSP	Congonhas Airport	BR
SBSR	Prof. Eribelto Manoel Reino State Airport	BR
SBST	Santos Nero Moura Air Base / Guarujá Airport	BR
SBSV	Deputado Luiz Eduardo Magalhães International Airport	BR
SBTA	Base de Aviação de Taubaté	BR
SBTB	Trombetas Airport	BR
SBTE	Senador Petrônio Portela Airport	BR
SBTF	Tefé Airport	BR
SBTK	Tarauacá Airport	BR
SBTL	Telêmaco Borba Airport	BR
SBTS	Tiriós Airport	BR
SBTT	Tabatinga Airport	BR
SBTU	Tucuruí Airport	BR
SBUA	São Gabriel da Cachoeira Airport	BR
SBUF	Paulo Afonso Airport	BR
SBUG	Rubem Berta Airport	BR
SBUL	Ten. Cel. Aviador César Bombonato Airport	BR
SBUR	Mário de Almeida Franco Airport	BR
SBVG	Major Brigadeiro Trompowsky Airport	BR
SBVH	Brigadeiro Camarão Airport	BR
SBVT	Eurico de Aguiar Salles Airport	BR
SBYS	Campo Fontenelle	BR
SBZM	Presidente Itamar Franco Airport	BR
SCAR	Chacalluta Airport	CL
SCAT	Desierto de Atacama Airport	CL
SCBA	Balmaceda Airport	CL
SCBE	Barriles Airport	CL
SCCC	Chile Chico Airport	CL
SCCF	El Loa Airport	CL
SCCH	Gral. Bernardo O´Higgins Airport	CL
SCCI	President Carlos Ibañez del Campo International Airport	CL
SCCY	Teniente Vidal Airport	CL
SCDA	Diego Aracena Airport	CL
SCEL	Comodoro Arturo Merino Benítez International Airport	CL
SCES	Ricardo García Posada Airport	CL
SCFA	Andrés Sabella Gálvez International Airport	CL
SCFM	Captain Fuentes Martinez Airport	CL
SCGZ	Guardiamarina Zañartu Airport	CL
SCHR	Cochrane Airport	CL
SCIE	Carriel Sur Airport	CL
SCIP	Mataveri Airport	CL
SCJO	Cañal Bajo Carlos - Hott Siebert Airport	CL
SCLL	Vallenar Airport	CL
SCNT	Lieutenant Julio Gallardo Airport	CL
SCQP	La Araucanía Airport	CL
SCRA	Chañaral Airport	CL
SCRG	La Independencia Airport	CL
SCSE	La Florida Airport	CL
SCTC	Maquehue Airport	CL
SCTE	El Tepual Airport	CL
SCTL	Panguilemo Airport	CL
SCTO	Victoria Airport	CL
SCTT	Las Breas Airport	CL
SCVD	Pichoy Airport	CL
SCVM	Viña del mar Airport	CL
SD-0001	Wadi Seidna Air Base	SD
SEAM	Chachoán Regional Airport	EC
SECO	Francisco De Orellana Airport	EC
SECU	Mariscal Lamar Airport	EC
SEGU	José Joaquín de Olmedo International Airport	EC
SELT	Cotopaxi International Airport	EC
SEMA	Jose Maria Velasco Ibarra Airport	EC
SEMC	Coronel E Carvajal Airport	EC
SEMT	Eloy Alfaro International Airport	EC
SEPV	Reales Tamarindos Airport	EC
SEQM	Mariscal Sucre International Airport	EC
SERO	Santa Rosa - Artillery Colonel Victor Larrea International Airport	EC
SESA	General Ulpiano Paez Airport	EC
SETR	Tarapoa Airport	EC
SETU	Lieutenant Colonel Luis A. Mantilla International Airport	EC
SFAL	Port Stanley Airport	FK
SGAS	Aeropuerto Internacional Silvio Pettirossi	PY
SGAY	Aeropuerto Nacional de Juan De Ayolas	PY
SGCO	Aeropuerto Nacional Tte. Cnel. Carmelo Peralta	PY
SGES	Aeropuerto Internacional Guaraní	PY
SGGR	Aeropuerto Nacional de Salto del Guaira	PY
SGIB	Aeropuerto Nacional de Itaipú	PY
SGME	Aeropuerto Internacional Dr. Luis Maria Argaña	PY
SGPI	Aeropuerto Nacional Carlos Miguel Gimenez	PY
SGPJ	Aeropuerto Internacional Dr. Augusto Roberto Fuster	PY
SJTC	Bauru/Arealva–Moussa Nakhal Tobias State Airport	BR
SKAP	Gomez Nino Apiay Air Base	CO
SKAR	El Eden Airport	CO
SKAS	Tres De Mayo Airport	CO
SKBC	Las Flores Airport	CO
SKBG	Palonegro Airport	CO
SKBO	El Dorado International Airport	CO
SKBQ	Ernesto Cortissoz International Airport	CO
SKBS	José Celestino Mutis Airport	CO
SKBU	Gerardo Tobar López Airport	CO
SKCC	Camilo Daza International Airport	CO
SKCG	Rafael Nuñez International Airport	CO
SKCL	Alfonso Bonilla Aragon International Airport	CO
SKCO	La Florida Airport	CO
SKCU	Juan H White Airport	CO
SKCV	Coveñas Airport	CO
SKCZ	Las Brujas Airport	CO
SKEB	El Bagre Airport	CO
SKEJ	Yariguíes Airport	CO
SKFL	Gustavo Artunduaga Paredes Airport	CO
SKGI	Santiago Vila Airport	CO
SKGO	Santa Ana Airport	CO
SKGP	Juan Casiano Airport	CO
SKIB	Perales Airport	CO
SKIP	San Luis Airport	CO
SKLC	Antonio Roldán Betancur Airport	CO
SKLM	Jorge Isaac Airport	CO
SKLT	Alfredo Vásquez Cobo International Airport	CO
SKMD	Enrique Olaya Herrera Airport	CO
SKMG	Baracoa Airport	CO
SKMR	Los Garzones Airport	CO
SKMU	Fabio Alberto Leon Bentley Airport	CO
SKMZ	La Nubia Airport	CO
SKNV	Benito Salas Airport	CO
SKOC	Aguas Claras Airport	CO
SKPC	German Olano Airport	CO
SKPD	Obando Cesar Gaviria Trujillo Airport	CO
SKPE	Matecaña International Airport	CO
SKPI	Pitalito Airport	CO
SKPP	Guillermo León Valencia Airport	CO
SKPQ	German Olano Air Base	CO
SKPS	Antonio Nariño Airport	CO
SKPV	El Embrujo Airport	CO
SKPZ	Paz De Ariporo Airport	CO
SKQU	Mariquita Airport	CO
SKRG	Jose Maria Córdova International Airport	CO
SKRH	Almirante Padilla Airport	CO
SKSJ	Jorge E. Gonzalez Torres Airport	CO
SKSM	Simón Bolívar International Airport	CO
SKSP	Gustavo Rojas Pinilla International Airport	CO
SKSV	Eduardo Falla Solano Airport	CO
SKTJ	Tunja Airport	CO
SKTM	Gustavo Vargas Airport	CO
SKTQ	Tres Esquinas Air Base	CO
SKUA	Marandúa Air Base	CO
SKUC	Santiago Perez Airport	CO
SKUI	El Caraño Airport	CO
SKUL	Heriberto Gíl Martínez Airport	CO
SKVP	Alfonso López Pumarejo Airport	CO
SKVV	Vanguardia Airport	CO
SKYP	El Yopal Airport	CO
SLAL	Alcantarí Airport	BO
SLBJ	Bermejo Airport	BO
SLCB	Jorge Wilsterman International Airport	BO
SLCO	Capitán Aníbal Arab Airport	BO
SLET	El Trompillo Airport	BO
SLLP	El Alto International Airport	BO
SLOR	Juan Mendoza Airport	BO
SLPO	Capitan Nicolas Rojas Airport	BO
SLPS	Capitán Av. Salvador Ogaya G. airport	BO
SLSA	Santa Ana Del Yacuma Airport	BO
SLSU	Juana Azurduy De Padilla Airport	BO
SLSV	San Ignacio de Velasco Airport	BO
SLTJ	Capitan Oriel Lea Plaza Airport	BO
SLTR	Teniente Av. Jorge Henrich Arauz Airport	BO
SLVM	Teniente Coronel Rafael Pabón Airport	BO
SLVR	Viru Viru International Airport	BO
SLYA	Yacuiba Airport	BO
SMJP	Johan Adolf Pengel International Airport	SR
SN6L	Dr. Luciano de Arruda Coelho Regional Airport	BR
SNCP	Planalto Serrano Regional Airport	BR
SNRS	Russas - João De Deus Regional Airport	BR
SO-0001	K50 International Airport	SO
SOCA	Cayenne – Félix Eboué Airport	GF
SOOG	Saint-Georges-de-l'Oyapock Airport	GF
SPAY	Teniente General Gerardo Pérez Pinedo Airport	PE
SPBC	Caballococha Airport	PE
SPBR	Iberia Airport	PE
SPCL	Cap FAP David Abenzur Rengifo International Airport	PE
SPEO	FAP Lieutenant Jaime Andres de Montreuil Morales Airport	PE
SPHI	Air Force Captain Jose A Quinones Gonzales International Airport	PE
SPHO	Air Force Colonel Alfredo Mendivil Duarte Airport	PE
SPHZ	Comandante FAP German Arias Graziani Airport	PE
SPIM	Jorge Chávez International Airport	PE
SPJA	Juan Simons Vela Airport	PE
SPJE	Shumba Airport	PE
SPJI	Juanjui Airport	PE
SPJJ	Francisco Carle Airport	PE
SPJL	Inca Manco Capac International Airport	PE
SPJR	Mayor General FAP Armando Revoredo Iglesias Airport	PE
SPLO	General Jorge Fernandez Maldon Airport	PE
SPME	Captain Pedro Canga Rodríguez International Airport	PE
SPMS	Moises Benzaquen Rengifo Airport	PE
SPNC	Alferez Fap David Figueroa Fernandini Airport	PE
SPPY	Chachapoyas Airport	PE
SPQT	Coronel FAP Francisco Secada Vignetta International Airport	PE
SPQU	Rodríguez Ballón International Airport	PE
SPRU	Capitan FAP Carlos Martinez De Pinillos International Airport	PE
SPSO	Captain Renán Elías Olivera International Airport	PE
SPST	Cadete FAP Guillermo Del Castillo Paredes Airport	PE
SPTN	Coronel FAP Carlos Ciriani Santa Rosa International Airport	PE
SPTU	Padre Aldamiz International Airport	PE
SPUR	Capitán FAP Guillermo Concha Iberico International Airport	PE
SPYL	Captain Victor Montes Arias International Airport	PE
SPZA	Maria Reiche Neuman Airport	PE
SPZO	Alejandro Velasco Astete International Airport	PE
SQD	Shangrao Sanqingshan Airport	CN
SQJ	Sanming Shaxian Airport	CN
SSZW	Ponta Grossa Airport - Comandante Antonio Amilton Beraldo	BR
SUAA	Ángel S. Adami International Airport	UY
SUDU	Santa Bernardina International Airport	UY
SULS	Capitan Corbeta CA Curbelo International Airport	UY
SUMU	Carrasco General Cesáreo L. Berisso International Airport	UY
SUSO	Nueva Hesperides International Airport	UY
SVAC	Oswaldo Guevara Mujica Airport	VE
SVAN	Anaco Airport	VE
SVBC	General José Antonio Anzoategui International Airport	VE
SVBI	Barinas Airport	VE
SVBL	El Libertador Airbase	VE
SVBM	Barquisimeto International Airport	VE
SVBS	Escuela Mariscal Sucre Airport	VE
SVCB	Aeropuerto "General Tomas de Heres". Ciudad Bolivar	VE
SVCD	Caicara del Orinoco Airport	VE
SVCL	Calabozo Airport	VE
SVCN	Canaima Airport	VE
SVCP	General Francisco Bermúdez Airport	VE
SVCR	José Leonardo Chirinos Airport	VE
SVCS	Oscar Machado Zuluaga Airport	VE
SVCU	Cumaná (Antonio José de Sucre) Airport	VE
SVED	El Dorado Airport	VE
SVEZ	Elorza Airport	VE
SVFM	Generalissimo Francisco de Miranda Air Base	VE
SVGD	Guasdalito Airport	VE
SVGI	Guiria Airport	VE
SVGU	Guanare Airport	VE
SVJC	Josefa Camejo International Airport	VE
SVJM	San Juan de Los Morros Airport	VE
SVLF	La Fria Airport	VE
SVMC	La Chinita International Airport	VE
SVMD	Alberto Carnevalli Airport	VE
SVMG	Del Caribe Santiago Mariño International Airport	VE
SVMI	Simón Bolívar International Airport	VE
SVMP	Metropolitano Airport	VE
SVMT	Maturín Airport	VE
SVPA	Cacique Aramare Airport	VE
SVPC	General Bartolome Salom International Airport	VE
SVPM	Paramillo Airport	VE
SVPR	General Manuel Carlos Piar International Airport	VE
SVPT	Palmarito Airport	VE
SVSA	San Antonio Del Tachira Airport	VE
SVSE	Santa Elena de Uairen Airport	VE
SVSO	Mayor Buenaventura Vivas International Airport	VE
SVSP	Sub Teniente Nestor Arias Airport	VE
SVSR	San Fernando De Apure Airport	VE
SVST	San Tomé Airport	VE
SVSZ	Santa Bárbara del Zulia Airport	VE
SVTC	Tucupita Airport	VE
SVTM	Tumeremo Airport	VE
SVVA	Arturo Michelena International Airport	VE
SVVG	Juan Pablo Pérez Alfonso Airport	VE
SVVL	Dr. Antonio Nicolás Briceño Airport	VE
SVVP	Valle de La Pascua Airport	VE
SWGN	Araguaína Airport	BR
SWRD	Maestro Marinho Franco Airport	BR
SYCJ	Cheddi Jagan International Airport	GY
SYGO	Eugene F. Correira International Airport	GY
SYLT	Lethem Airport	GY
TAO	Qingdao Jiaodong International Airport	CN
TAPA	V C Bird International Airport	AG
TAPH	Codrington Airport	AG
TBPB	Grantley Adams International Airport	BB
TDCF	Canefield Airport	DM
TDPD	Douglas-Charles Airport	DM
TFFF	Martinique Aimé Césaire International Airport	MQ
TFFG	Grand Case-Espérance Airport	MF
TFFJ	Saint Barthélemy - Rémy de Haenen Airport	BL
TFFM	Les Bases Airport	GP
TFFR	Pointe-à-Pitre Le Raizet International  Airport	GP
TGPY	Maurice Bishop International Airport	GD
TIST	Cyril E. King Airport	VI
TISX	Henry E Rohlsen Airport	VI
TJ-UT45	Gissar Air Base	TJ
TJ-UT46	Farkhor Air Base	TJ
TJAB	Antonio Nery Juarbe Pol Airport	PR
TJBQ	Rafael Hernández International Airport	PR
TJIG	Fernando Luis Ribas Dominicci Airport	PR
TJMZ	Eugenio Maria De Hostos Airport	PR
TJPS	Mercedita Airport	PR
TJSJ	Luis Munoz Marin International Airport	PR
TKPK	Robert L. Bradshaw International Airport	KN
TKPN	Vance W. Amory International Airport	KN
TLPC	George F. L. Charles Airport	LC
TLPL	Hewanorra International Airport	LC
TM-UT52	Mary North Airport	TM
TNCA	Queen Beatrix International Airport	AW
TNCB	Flamingo International Airport	BQ
TNCC	Hato International Airport	CW
TNCE	F. D. Roosevelt Airport	BQ
TNCM	Princess Juliana International Airport	SX
TNW	Jumandy Airport	EC
TQPF	Clayton J Lloyd International Airport	AI
TR-0004	Temelli Air Base	TR
TR-0021	Çukurhisar Airport	TR
TR-0028	Keşan Air Base	TR
TRPG	John A. Osborne Airport	MS
TTCP	Tobago-Crown Point Airport	TT
TTPP	Piarco International Airport	TT
TUPJ	Terrance B. Lettsome International Airport	VG
TVSA	Argyle International Airport	VC
TVSB	J F Mitchell Airport	VC
TVSC	Canouan Airport	VC
TVSM	Mustique Airport	VC
TVSU	Union Island International Airport	VC
TW-0004	Zuoying Naval Airfield	TW
TXKF	L.F. Wade International International Airport	BM
UA-0005	Nizhyn Air Base	UA
UA-0010	Oktyabrskoe Air Base	UA
UA-0012	Kirovskoe Air Base	UA
UA-0020	Melitopol Air Base	UA
